image_id,surface_type,surface_feature,centroid_x,centroid_y,technical_width,technical_length,max_width,max_length,total_area,aspect_ratio,perimeter,distance_to_max_width,voronoi_num_cells,convex_hull_width,convex_hull_height,convex_hull_area,voronoi_cell_area,top_area,bottom_area,left_area,right_area,vertical_symmetry,horizontal_symmetry,lateral_convexity,has_arrow,arrow_angle
awbari.png,Ventral,Ventral,819.36,1570.19,675,934,359.42,951.0,520518.0,1.38,2834.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA
awbari.png,Dorsal,Dorsal,1705.76,1568.21,683,936,373.76,951.46,525089.0,1.37,2821.97,NA,7,468.98,576.02,165101.47,48384.82,257182.0,269162.0,262191.0,264153.0,0.98,1.0,NA,False,NA
awbari.png,Platform,Platform,1228.44,958.01,358,142,100.67,371.38,39797.5,0.4,901.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA
awbari.png,Ventral,scar 1,560.13,1873.58,NA,NA,52.5,159.15,4661.0,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA
awbari.png,Ventral,scar 2,822.23,1566.93,NA,NA,356.99,942.14,503495.5,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA
awbari.png,Dorsal,scar 3,1538.91,1973.25,NA,NA,33.38,120.02,3534.5,0.66,NA,NA,NA,NA,NA,NA,39808.67,NA,NA,NA,NA,NA,NA,NA,False,NA
awbari.png,Dorsal,scar 4,1767.58,1866.59,NA,NA,191.6,509.84,104629.5,0.74,NA,NA,NA,NA,NA,NA,130005.41,NA,NA,NA,NA,NA,NA,NA,True,168.0
awbari.png,Dorsal,scar 5,1427.98,1578.38,NA,NA,120.43,255.55,20261.0,1.86,NA,NA,NA,NA,NA,NA,50240.48,NA,NA,NA,NA,NA,NA,NA,True,246.0
awbari.png,Dorsal,scar 6,1896.96,1479.82,NA,NA,218.03,727.43,141393.5,2.6,NA,NA,NA,NA,NA,NA,106817.91,NA,NA,NA,NA,NA,NA,NA,True,355.0
awbari.png,Dorsal,scar 7,1513.07,1548.38,NA,NA,148.55,862.12,128786.0,3.22,NA,NA,NA,NA,NA,NA,54281.98,NA,NA,NA,NA,NA,NA,NA,True,229.0
awbari.png,Dorsal,scar 8,1686.86,1397.23,NA,NA,179.91,631.35,104428.0,3.28,NA,NA,NA,NA,NA,NA,95549.73,NA,NA,NA,NA,NA,NA,NA,True,357.0
rub_al_khali.png,Ventral,Ventral,1771.44,1441.72,530,1334,329.47,1342.63,485467.0,2.52,3326.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,False,NA
rub_al_khali.png,Lateral,Lateral,659.94,1433.2,159,1341,167.34,1341.34,135539.5,8.43,2928.61,670.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,False,NA
